profileID,respID,qID,altID,obsID,type,price,freshness,image
13,1,1,1,1,Honeycrisp,2,Excellent,honeycrisp.jpg
6,1,1,2,1,Fuji,1.5,Excellent,fuji.jpg
54,1,1,3,1,Pink Lady,2.5,Average,pinkLady.jpg
42,1,2,1,2,Gala,1.5,Average,gala.jpg
23,1,2,2,2,Honeycrisp,3,Excellent,honeycrisp.jpg
97,1,2,3,2,Gala,3.5,Poor,gala.jpg
47,1,3,1,3,Gala,2,Average,gala.jpg
82,1,3,2,3,Gala,2,Poor,gala.jpg
104,1,3,3,3,Pink Lady,4,Poor,pinkLady.jpg
102,1,4,1,4,Gala,4,Poor,gala.jpg
41,1,4,2,4,Fuji,1.5,Average,fuji.jpg
14,1,4,3,4,Pink Lady,2,Excellent,pinkLady.jpg
35,1,5,1,5,Red Delicious,4,Excellent,redDelicious.jpg
101,1,5,2,5,Fuji,4,Poor,fuji.jpg
95,1,5,3,5,Red Delicious,3,Poor,redDelicious.jpg
65,1,6,1,6,Red Delicious,3.5,Average,redDelicious.jpg
51,1,6,2,6,Fuji,2.5,Average,fuji.jpg
63,1,6,3,6,Honeycrisp,3.5,Average,honeycrisp.jpg
34,2,1,1,7,Pink Lady,4,Excellent,pinkLady.jpg
26,2,1,2,7,Fuji,3.5,Excellent,fuji.jpg
6,2,1,3,7,Fuji,1.5,Excellent,fuji.jpg
28,2,2,1,8,Honeycrisp,3.5,Excellent,honeycrisp.jpg
98,2,2,2,8,Honeycrisp,3.5,Poor,honeycrisp.jpg
93,2,2,3,8,Honeycrisp,3,Poor,honeycrisp.jpg
47,2,3,1,9,Gala,2,Average,gala.jpg
32,2,3,2,9,Gala,4,Excellent,gala.jpg
24,2,3,3,9,Pink Lady,3,Excellent,pinkLady.jpg
59,2,4,1,10,Pink Lady,3,Average,pinkLady.jpg
2,2,4,2,10,Gala,1,Excellent,gala.jpg
53,2,4,3,10,Honeycrisp,2.5,Average,honeycrisp.jpg
61,2,5,1,11,Fuji,3.5,Average,fuji.jpg
95,2,5,2,11,Red Delicious,3,Poor,redDelicious.jpg
12,2,5,3,11,Gala,2,Excellent,gala.jpg
81,2,6,1,12,Fuji,2,Poor,fuji.jpg
10,2,6,2,12,Red Delicious,1.5,Excellent,redDelicious.jpg
88,2,6,3,12,Honeycrisp,2.5,Poor,honeycrisp.jpg
10,3,1,1,13,Red Delicious,1.5,Excellent,redDelicious.jpg
23,3,1,2,13,Honeycrisp,3,Excellent,honeycrisp.jpg
6,3,1,3,13,Fuji,1.5,Excellent,fuji.jpg
32,3,2,1,14,Gala,4,Excellent,gala.jpg
81,3,2,2,14,Fuji,2,Poor,fuji.jpg
105,3,2,3,14,Red Delicious,4,Poor,redDelicious.jpg
94,3,3,1,15,Pink Lady,3,Poor,pinkLady.jpg
102,3,3,2,15,Gala,4,Poor,gala.jpg
84,3,3,3,15,Pink Lady,2,Poor,pinkLady.jpg
13,3,4,1,16,Honeycrisp,2,Excellent,honeycrisp.jpg
27,3,4,2,16,Gala,3.5,Excellent,gala.jpg
82,3,4,3,16,Gala,2,Poor,gala.jpg
26,3,5,1,17,Fuji,3.5,Excellent,fuji.jpg
76,3,5,2,17,Fuji,1.5,Poor,fuji.jpg
57,3,5,3,17,Gala,3,Average,gala.jpg
43,3,6,1,18,Honeycrisp,1.5,Average,honeycrisp.jpg
15,3,6,2,18,Red Delicious,2,Excellent,redDelicious.jpg
30,3,6,3,18,Red Delicious,3.5,Excellent,redDelicious.jpg
104,4,1,1,19,Pink Lady,4,Poor,pinkLady.jpg
10,4,1,2,19,Red Delicious,1.5,Excellent,redDelicious.jpg
57,4,1,3,19,Gala,3,Average,gala.jpg
25,4,2,1,20,Red Delicious,3,Excellent,redDelicious.jpg
105,4,2,2,20,Red Delicious,4,Poor,redDelicious.jpg
65,4,2,3,20,Red Delicious,3.5,Average,redDelicious.jpg
44,4,3,1,21,Pink Lady,1.5,Average,pinkLady.jpg
39,4,3,2,21,Pink Lady,1,Average,pinkLady.jpg
42,4,3,3,21,Gala,1.5,Average,gala.jpg
32,4,4,1,22,Gala,4,Excellent,gala.jpg
26,4,4,2,22,Fuji,3.5,Excellent,fuji.jpg
49,4,4,3,22,Pink Lady,2,Average,pinkLady.jpg
40,4,5,1,23,Red Delicious,1,Average,redDelicious.jpg
33,4,5,2,23,Honeycrisp,4,Excellent,honeycrisp.jpg
86,4,5,3,23,Fuji,2.5,Poor,fuji.jpg
27,4,6,1,24,Gala,3.5,Excellent,gala.jpg
35,4,6,2,24,Red Delicious,4,Excellent,redDelicious.jpg
17,4,6,3,24,Gala,2.5,Excellent,gala.jpg
61,5,1,1,25,Fuji,3.5,Average,fuji.jpg
81,5,1,2,25,Fuji,2,Poor,fuji.jpg
2,5,1,3,25,Gala,1,Excellent,gala.jpg
11,5,2,1,26,Fuji,2,Excellent,fuji.jpg
55,5,2,2,26,Red Delicious,2.5,Average,redDelicious.jpg
63,5,2,3,26,Honeycrisp,3.5,Average,honeycrisp.jpg
77,5,3,1,27,Gala,1.5,Poor,gala.jpg
4,5,3,2,27,Pink Lady,1,Excellent,pinkLady.jpg
46,5,3,3,27,Fuji,2,Average,fuji.jpg
52,5,4,1,28,Gala,2.5,Average,gala.jpg
81,5,4,2,28,Fuji,2,Poor,fuji.jpg
28,5,4,3,28,Honeycrisp,3.5,Excellent,honeycrisp.jpg
36,5,5,1,29,Fuji,1,Average,fuji.jpg
66,5,5,2,29,Fuji,4,Average,fuji.jpg
71,5,5,3,29,Fuji,1,Poor,fuji.jpg
29,5,6,1,30,Pink Lady,3.5,Excellent,pinkLady.jpg
100,5,6,2,30,Red Delicious,3.5,Poor,redDelicious.jpg
56,5,6,3,30,Fuji,3,Average,fuji.jpg
67,6,1,1,31,Gala,4,Average,gala.jpg
46,6,1,2,31,Fuji,2,Average,fuji.jpg
87,6,1,3,31,Gala,2.5,Poor,gala.jpg
12,6,2,1,32,Gala,2,Excellent,gala.jpg
43,6,2,2,32,Honeycrisp,1.5,Average,honeycrisp.jpg
45,6,2,3,32,Red Delicious,1.5,Average,redDelicious.jpg
85,6,3,1,33,Red Delicious,2,Poor,redDelicious.jpg
98,6,3,2,33,Honeycrisp,3.5,Poor,honeycrisp.jpg
29,6,3,3,33,Pink Lady,3.5,Excellent,pinkLady.jpg
43,6,4,1,34,Honeycrisp,1.5,Average,honeycrisp.jpg
78,6,4,2,34,Honeycrisp,1.5,Poor,honeycrisp.jpg
57,6,4,3,34,Gala,3,Average,gala.jpg
76,6,5,1,35,Fuji,1.5,Poor,fuji.jpg
71,6,5,2,35,Fuji,1,Poor,fuji.jpg
33,6,5,3,35,Honeycrisp,4,Excellent,honeycrisp.jpg
96,6,6,1,36,Fuji,3.5,Poor,fuji.jpg
88,6,6,2,36,Honeycrisp,2.5,Poor,honeycrisp.jpg
93,6,6,3,36,Honeycrisp,3,Poor,honeycrisp.jpg
102,7,1,1,37,Gala,4,Poor,gala.jpg
72,7,1,2,37,Gala,1,Poor,gala.jpg
61,7,1,3,37,Fuji,3.5,Average,fuji.jpg
12,7,2,1,38,Gala,2,Excellent,gala.jpg
74,7,2,2,38,Pink Lady,1,Poor,pinkLady.jpg
46,7,2,3,38,Fuji,2,Average,fuji.jpg
79,7,3,1,39,Pink Lady,1.5,Poor,pinkLady.jpg
36,7,3,2,39,Fuji,1,Average,fuji.jpg
22,7,3,3,39,Gala,3,Excellent,gala.jpg
55,7,4,1,40,Red Delicious,2.5,Average,redDelicious.jpg
20,7,4,2,40,Red Delicious,2.5,Excellent,redDelicious.jpg
2,7,4,3,40,Gala,1,Excellent,gala.jpg
78,7,5,1,41,Honeycrisp,1.5,Poor,honeycrisp.jpg
72,7,5,2,41,Gala,1,Poor,gala.jpg
66,7,5,3,41,Fuji,4,Average,fuji.jpg
15,7,6,1,42,Red Delicious,2,Excellent,redDelicious.jpg
79,7,6,2,42,Pink Lady,1.5,Poor,pinkLady.jpg
